,Hockey Team,Average Compound Score,Average Positive Score,Average Neutral Score,Average Negative Score
0,@AnaheimDucks,0.205,0.119,0.036,0.845
1,@ArizonaCoyotes,0.189,0.125,0.034,0.841
2,@Avalanche,0.161,0.146,0.016,0.838
3,@BlueJacketsNHL,0.203,0.111,0.027,0.862
4,@BuffaloSabres,0.162,0.083,0.011,0.906
5,@CanadiensMTL,0.094,0.058,0.015,0.926
6,@Canucks,0.217,0.119,0.017,0.865
7,@Capitals,0.158,0.085,0.025,0.89
8,@DallasStars,0.152,0.086,0.024,0.89
9,@DetroitRedWings,0.2,0.11,0.012,0.868
10,@EdmontonOilers,0.167,0.1,0.027,0.873
11,@FlaPanthers,0.168,0.093,0.024,0.883
12,@GoldenKnights,0.221,0.122,0.023,0.845
13,@LAKings,0.199,0.148,0.017,0.835
14,@MapleLeafs,0.328,0.15,0.011,0.839
15,@NHLBlackhawks,0.031,0.077,0.068,0.855
16,@NHLBruins,0.168,0.104,0.022,0.874
17,@NHLCanes,0.184,0.144,0.035,0.822
18,@NHLFlames,0.247,0.118,0.019,0.863
19,@NHLFlyers,0.115,0.081,0.032,0.888
20,@NHLJets,0.161,0.086,0.013,0.901
21,@NJDevils,-0.001,0.062,0.086,0.853
22,@NY_IslandersNHL,0.109,0.057,0.009,0.934
23,@PredsNHL,0.127,0.065,0.012,0.923
24,@SanJoseSharks,0.177,0.11,0.017,0.873
25,@Senators,0.192,0.108,0.008,0.884
26,@StLouisBlues,0.134,0.108,0.049,0.844
27,@TBLightning,0.165,0.107,0.023,0.87
28,@mnwild,0.192,0.115,0.028,0.858
29,@penguins,0.146,0.088,0.025,0.887
